Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_1206_3216Metric,68.834,-75.438,0,top
C2,10u,C_1206_3216Metric,68.834,-67.818,180,top
C3,10u,C_1206_3216Metric,76.962,-75.438,0,top
C4,10u,C_1206_3216Metric,76.962,-67.818,180,top
D1,SS14,D_SMA,74.422,-81.788,0,top
D2,SS14,D_SMA,95.504,-78.486,0,top
D3,SS14,D_SMA,95.504,-74.676,0,top
R1,1k,R_0603_1608Metric,97.536,-64.262,0,top
R2,120,R_0603_1608Metric,95.504,-81.788,180,top
R3,10k,R_0603_1608Metric,92.202,-64.262,0,top
R4,270,R_0805_2012Metric,84.074,-81.534,0,top
R5,270,R_0805_2012Metric,89.916,-81.534,0,top
U1,HT7550-1,SOT-89-3,68.834,-71.628,180,top
U2,ST3485EBDR,SOIC-8_3.9x4.9mm_P1.27mm,95.504,-69.85,270,top
U3,HT7533-1,SOT-89-3,76.962,-71.628,180,top
